회사명,회계년도,거래소코드
가온미디어,2017,078890
감성코퍼레이션,2014,036620
감성코퍼레이션,2016,036620
강원에너지,2012,114190
경남스틸,2018,039240
경남제약,2011,053950
경남제약,2013,053950
경남제약,2018,053950
경동제약,2012,011040
경동제약,2018,011040
경창산업,2018,024910
고려신용정보,2014,049720
고려신용정보,2015,049720
고영,2014,098460
골드앤에스,2013,035290
골드앤에스,2014,035290
골드앤에스,2015,035290
골드앤에스,2017,035290
골드앤에스,2019,035290
골드퍼시픽,2013,038530
골드퍼시픽,2015,038530
골드퍼시픽,2017,038530
골든센츄리 IR,2017,900280
골든센츄리 IR,2019,900280
골프존,2018,215000
골프존뉴딘홀딩스,2013,121440
골프존뉴딘홀딩스,2014,121440
골프존뉴딘홀딩스,2015,121440
골프존뉴딘홀딩스,2018,121440
골프존뉴딘홀딩스,2019,121440
광림,2015,014200
광림,2016,014200
광무,2011,014200
광무,2012,014200
광무,2013,014200
광무,2014,014200
광무,2019,014200
구영테크,2019,053270
국보디자인,2011,066620
국순당,2015,043650
국순당,2019,043650
국일제지,2015,078130
국일제지,2016,078130
그리티,2019,204020
글로벌에스엠,2015,900070
글로본 IR,2011,019660
글로본 IR,2013,019660
글로본 IR,2014,019660
금화피에스시,2011,036190
금화피에스시,2013,036190
기가레인,2017,049080
기산텔레콤,2019,035460
나노신소재,2011,121600
나노신소재,2015,121600
나노엔텍,2011,039860
나노엔텍,2015,039860
나노캠텍,2018,091970
나무가,2016,190510
나무기술,2018,242040
나이벡,2019,138610
나이스정보통신,2012,036800
나이스정보통신,2015,036800
나이스정보통신,2018,036800
남화토건,2019,091590
내츄럴엔도텍,2013,168330
내츄럴엔도텍,2014,168330
내츄럴엔도텍,2015,168330
내츄럴엔도텍,2016,168330
내츄럴엔도텍,2019,168330
네오리진,2012,094860
네오리진,2015,094860
네오오토,2016,212560
네오위즈,2012,095660
네오위즈,2016,095660
네오위즈홀딩스,2012,042420
네오위즈홀딩스,2016,042420
네이블커뮤니케이션즈,2014,153460
네이블커뮤니케이션즈,2019,153460
네이처셀,2011,007390
네이처셀,2012,007390
네이처셀,2013,007390
네이처셀,2014,007390
네이처셀,2019,007390
넥스턴바이오,2016,089140
넥스트아이,2012,137940
넥스트아이,2017,137940
노블엠앤비,2015,106520
노블엠앤비,2016,106520
노블엠앤비,2018,106520
노블엠앤비,2019,106520
녹원씨엔아이,2011,065560
녹원씨엔아이,2012,065560
녹원씨엔아이,2013,065560
녹원씨엔아이,2014,065560
녹원씨엔아이,2015,065560
녹원씨엔아이,2016,065560
녹원씨엔아이,2017,065560
녹원씨엔아이,2018,065560
녹원씨엔아이,2019,065560
누리플랜,2011,069140
누리플랜,2014,069140
누리플랜,2015,069140
누리플랜,2017,069140
누리플렉스,2013,040160
뉴로스,2016,126870
뉴로스,2018,126870
뉴로스,2019,126870
뉴보텍,2018,060260
뉴보텍,2019,060260
뉴인텍,2019,012340
뉴지랩파마,2017,214870
뉴지랩파마,2018,214870
뉴파워프라즈마,2019,144960
뉴프렉스,2018,085670
다나와,2016,119860
다날,2016,064260
다믈멀티미디어,2018,093640
다믈멀티미디어,2019,093640
다산네트웍스 IR,2017,039560
다우데이타,2012,032190
다우데이타,2013,032190
다우데이타,2017,032190
다원시스,2011,068240
다원시스,2016,068240
다원시스,2018,068240
다원시스,2019,068240
대동금속,2019,020400
대동기어,2019,008830
대림제지,2016,017650
대명소노시즌,2011,007720
대명소노시즌,2012,007720
대명소노시즌,2013,007720
대보마그네틱,2019,290670
대봉엘에스,2011,078140
대성미생물,2018,036480
대성엘텍,2012,025440
대성엘텍,2013,025440
대성엘텍,2014,025440
대성엘텍,2018,025440
대성파인텍,2016,104040
대성파인텍,2017,104040
대양제지,2017,006580
대원산업,2011,005710
대주전자재료,2014,078600
대주전자재료,2016,078600
대창솔루션,2016,096350
대창솔루션,2018,096350
대창스틸,2018,140520
대창스틸,2019,140520
대한과학 IR,2018,131220
대한광통신,2011,010170
대한광통신,2012,010170
대한광통신,2014,010170
대한그린파워 IR,2012,060900
대한그린파워 IR,2014,060900
대한그린파워 IR,2015,060900
대한그린파워 IR,2019,060900
대한뉴팜,2019,054670
대호특수강,2012,021040
대호특수강,2014,021040
덕산네오룩스,2017,213420
덕산하이메탈,2014,077360
덕신하우징,2017,090410
덕우전자,2019,263600
덱스터,2016,206560
동국산업,2014,005160
동국알앤에스,2012,075970
동국알앤에스,2015,075970
동성화인텍,2011,033500
동성화인텍,2012,033500
동성화인텍,2017,033500
동성화인텍,2019,033500
동신건설,2019,025950
동양이엔피,2014,079960
동운아나텍,2018,094170
동원개발,2015,013120
동일기연,2019,032960
동일철강,2012,023790
동일철강,2016,023790
동일철강,2019,023790
동진쎄미켐,2014,005290
동화기업,2011,025900
동화기업,2013,025900
동화기업,2014,025900
동화기업,2018,025900
듀오백,2015,073190
드래곤플라이,2014,030350
드림어스컴퍼니,2017,060570
디모아,2016,016670
디모아,2018,016670
디스플레이텍,2018,066670
디아크,2011,078590
디아크,2019,078590
디앤씨미디어,2017,263720
디앤씨미디어,2019,263720
디에스앤엘,2014,141020
디에스앤엘,2016,141020
디에스앤엘,2017,141020
디에스앤엘,2019,141020
디에스케이,2016,109740
디에스케이,2017,109740
디에스케이,2018,109740
디에이테크놀로지 IR,2018,196490
디에이피,2014,066900
디엑스앤브이엑스,2017,180400
디엑스앤브이엑스,2018,180400
디엑스앤브이엑스,2019,180400
디엔에이링크,2014,127120
디엔에이링크,2015,127120
디엔에프,2011,092070
디엔에프,2014,092070
디오,2018,039840
디와이디,2019,219550
디와이피엔에프,2011,104460
디이엔티,2018,079810
디지아이,2011,043360
디지캡,2018,197140
디지털대성,2016,068930
딜리,2012,131180
라온시큐어,2011,042510
라온시큐어,2012,042510
라온테크,2017,232680
라이온켐텍,2014,171120
라이온켐텍,2015,171120
라이온켐텍,2019,171120
라이트론,2019,069540
램테크놀러지,2015,171010
램테크놀러지,2016,171010
랩지노믹스,2016,084650
레고켐바이오,2015,141080
레드로버,2012,060300
레드로버,2018,060300
레드로버,2019,060300
레드캡투어 IR,2012,038390
레드캡투어 IR,2019,038390
로보티즈,2019,108490
로체시스템즈,2017,071280
루트로닉 IR,2017,085370
룽투코리아,2012,060240
