회사명,회계년도,거래소코드
강남제비스코,2014,000860
강남제비스코,2019,000860
경동나비엔,2014,009450
경동도시가스,2017,267290
경동도시가스,2019,267290
경동인베스트,2011,012320
경동인베스트,2016,012320
경방,2012,000050
경방,2013,000050
경방,2018,000050
경방,2019,000050
계룡건설산업,2011,013580
계룡건설산업,2013,013580
계룡건설산업,2015,013580
계룡건설산업,2016,013580
고려제강,2011,002240
고려제강,2014,002240
고려제강,2017,002240
광주신세계,2018,037710
국동,2011,005320
국동,2012,005320
국동,2017,005320
국보,2014,001140
국보,2019,001141
그린케미칼,2014,083420
그린케미칼,2019,083420
금비,2014,008870
금비,2016,008870
금호건설,2011,002990
금호건설,2012,002990
금호건설,2013,002990
금호건설,2014,002990
금호전기,2012,001210
금호전기,2019,001210
금호타이어,2011,073240
금호타이어,2012,073240
금호타이어,2014,073240
금호타이어,2015,073240
금호타이어,2016,073240
금호타이어,2017,073240
금호타이어,2018,073240
기아,2012,000270
기아,2013,000270
기아,2014,000270
기아,2015,000270
기아,2016,000270
기아,2017,000270
기아,2018,000270
기아,2019,000270
까뮤이앤씨,2011,013700
까뮤이앤씨,2012,013700
깨끗한나라,2019,004540
남광토건,2011,001260
남광토건,2012,001260
남광토건,2013,001260
남광토건,2014,001260
남광토건,2015,001260
남광토건,2018,001260
남선알미늄,2016,008350
남성,2015,004270
남해화학,2012,025860
남해화학,2018,025860
노루홀딩스,2012,000320
농심,2011,004370
다올투자증권,2016,030210
다이나믹디자인,2017,145210
다이나믹디자인,2018,145210
다이나믹디자인,2019,145210
대구백화점,2013,006370
대덕,2018,008060
대덕,2019,008060
대림비앤코,2014,005750
대림비앤코,2017,005750
대림통상,2015,006570
대성산업,2013,128820
대성산업,2014,128820
대성산업,2015,128820
대성산업,2017,128820
대신증권,2015,003540
대양금속,2011,009190
대양금속,2012,009190
대양금속,2015,009190
대우건설,2011,047040
대우건설,2014,047040
대우건설,2015,047040
대우조선해양,2016,042660
대우조선해양,2017,042660
대원강업,2013,000430
대원강업,2016,000430
대원제약,2011,003220
대원제약,2013,003220
대유에이텍,2013,002880
대유에이텍,2016,002880
대유플러스,2015,000300
대유플러스,2018,000300
대창,2016,012800
대창단조,2019,015230
대한방직,2018,001070
대한유화,2019,006650
대한전선,2012,001440
대한전선,2014,001440
대한전선,2015,001440
대한전선,2017,001440
대한제강,2018,084010
대한제당,2014,001790
대한항공,2013,003490
대한해운,2011,005880
대한해운,2013,005880
대한해운,2016,005880
대호에이엘,2018,069460
대호에이엘,2019,069460
더존비즈온,2011,012510
도화엔지니어링,2011,002150
도화엔지니어링,2013,002150
도화엔지니어링,2014,002150
동국제강,2012,001230
동국제강,2015,001230
동국제강,2018,001230
동남합성,2011,023450
동남합성,2013,023450
동남합성,2014,023450
동남합성,2017,023450
동남합성,2019,023450
동방,2015,004140
동부건설,2014,005960
동부건설,2015,005960
동부건설,2016,005960
동서,2012,026960
동서,2013,026960
동성케미컬,2015,102260
동아쏘시오홀딩스,2012,000640
동아쏘시오홀딩스,2015,000640
동아쏘시오홀딩스,2016,000640
동아쏘시오홀딩스,2017,000640
동아에스티,2017,170900
동아지질,2013,028100
동아지질,2018,028100
동양,2011,001520
동양,2012,001520
동양,2013,001520
동양,2014,001520
동양고속,2013,084670
동양고속,2018,084670
동원산업,2019,006040
동원수산,2011,030720
동원시스템즈,2012,014820
두올,2018,016740
드림텍,2019,192650
디와이,2014,013570
락앤락,2011,115390
락앤락,2014,115390
락앤락,2019,115390
마니커,2011,027740
마니커,2012,027740
메리츠증권,2014,008560
메타랩스,2017,090370
메타랩스,2018,090370
명문제약,2011,017180
모토닉,2019,009680
무림페이퍼,2012,009200
무학,2012,033920
무학,2014,033920
