회사명,거래소코드,회계년도,유동자산_연결,비유동자산_연결,유동부채_연결,비유동부채 _연결,자본금_연결,자본잉여금_연결,기타포괄손익누계액_연결,이익잉여금_연결,매출액_연결,매출원가_연결,매출총이익_연결,판관비_연결,영업손익_연결,금융수익_연결,기타이익_연결,기타손실_연결,법인세비용_연결,당기순이익_연결,총포괄손익_연결,OCF_연결,ICF_연결,FCF_연결,매출채권 및 기타유동채권_연결,현금및현금성자산_연결,유형자산_연결,자산_연결,부채_연결,자본_연결,감가상각비_연결,감가(주석)_연결,총자본증가율_연결,유형자산증가율_연결,비유동자산증가율_연결,유동자산증가율_연결,재고자산증가율_연결,매출액증가율_연결,매출액총이익률_연결,유동자산 대 비유동자산비율_연결,당좌자산구성비율_연결,비유동자산구성비율_연결,자기자본구성비율_연결,타인자본구성비율_연결,비유동비율_연결,비유동장기적합률_연결,유동비율_연결,당좌비율_연결,현금비율_연결,매출채권비율_연결,재고자산 대 순운전자본비율_연결,매출채권 대 매입채무비율_연결,매입채무 대 재고자산비율_연결,부채비율_연결,유동부채비율_연결,단기차입금 대 총차입금비율_연결,비유동부채비율_연결,비유동부채 대 순운전자본비율_연결,순운전자본비율_연결,차입금의존도_연결,차입금비율_연결,이자보상배율(이자비용)_연결,CASH FLOW 대 부채비율_연결,CASH FLOW 대 차입금비율_연결,CASH FLOW 대 매출액비율_연결,총자본회전률_연결,자기자본회전률_연결,매입채무회전률_연결,매입채무회전기간_연결,유동자산회전률_연결,당좌자산회전률_연결,재고자산회전률_연결,재고자산회전기간_연결,매출채권회전률_연결,매출채권회전기간_연결,비유동자산회전률_연결,유형자산회전율_연결,순운전자본회전률_연결,1회전기간_연결,종업원수_연결,재고자산_연결,매입채무 및 기타유동채무_연결,단기차입금_연결,장기차입금_연결,사채_연결,이자비용_연결
(주)DB하이텍,000990,2011/12,279726.0,919318.0,794705.0,96277.0,214616.0,684522.0,2709.0,-512733.0,552216.0,460441.0,91775.0,127164.0,-43150.0,12260.0,0.0,0.0,4940.0,-97947.0,-99242.0,60749.0,-23348.0,-88776.0,82099.0,40025.0,758902.0,1199044.0,890982.0,308062.0,122718.0,122718.0,-13.19,-7.89,-14.1,-10.08,-3.28,-10.94,16.62,30.43,16.9,76.67,25.69,74.31,298.42,227.36,35.2,25.5,5.04,101.16,0.0,336.28,30.08,289.22,257.97,0.0,31.25,0.0,-42.95,59.0,229.64,-0.75,5.87,7.39,9.47,0.43,1.56,20.51,17.79,1.87,2.54,7.04,51.83,6.12,59.6,0.56,0.7,0.72,0.01,,77113.0,61197.0,5398.0,0.0,0.0,57547.0
(주)DB하이텍,000990,2012/12,309144.0,848611.0,555433.0,311428.0,222556.0,691522.0,3264.0,-545396.0,590786.0,494003.0,96783.0,112405.0,-15622.0,16732.0,19599.0,13857.0,-1044.0,-31341.0,-32109.0,73877.0,-49272.0,-22718.0,79066.0,39918.0,685389.0,1157755.0,866862.0,290893.0,110930.46,110930.0,-3.44,-9.69,-7.69,10.52,2.79,6.98,16.38,36.43,19.86,73.3,25.13,74.87,291.73,140.89,55.66,41.39,7.19,86.17,0.0,384.99,22.38,298.0,190.94,68.49,107.06,0.0,-21.27,58.88,234.33,-0.31,7.77,9.87,11.39,0.5,1.97,28.86,12.65,2.01,2.73,7.56,48.31,8.08,45.19,0.67,0.82,0.61,0.01,,79262.0,63776.0,5142.0,214817.0,0.0,50197.0
(주)DB하이텍,000990,2013/12,222961.0,835431.0,476868.0,376767.0,222556.0,128091.0,-1418.0,-63421.0,493752.0,404501.0,89251.0,98862.0,-9611.0,5779.0,10367.0,16084.0,1665.0,-83047.0,-85343.0,28381.0,-14426.0,-18090.0,92404.0,35222.0,636040.0,1058392.0,853635.0,204757.0,87686.0,87686.0,-8.58,-7.2,-1.55,-27.88,-8.69,-16.42,18.08,26.69,14.23,78.93,19.35,80.65,408.01,143.66,46.76,31.58,7.39,81.82,0.0,199.26,41.06,416.9,232.89,58.3,184.01,0.0,-23.99,62.73,324.25,-0.16,5.99,7.7,10.36,0.45,1.99,20.81,17.54,1.86,2.6,6.51,56.05,7.74,47.13,0.59,0.75,0.63,0.01,,72378.0,67568.0,6452.0,276847.0,0.0,59545.0
(주)DB하이텍,000990,2014/12,247582.0,737294.0,376437.0,487737.0,222556.0,128092.0,-4315.0,-145152.0,567718.0,430813.0,136905.0,91345.0,45560.0,3160.0,10907.0,28625.0,-11961.0,-77009.0,-84628.0,48078.0,-43635.0,1206.0,115993.0,40369.0,591787.0,984877.0,864174.0,120703.0,82069.0,82069.0,-6.95,-6.96,-11.75,11.04,-4.42,14.98,24.11,33.58,18.11,74.86,12.26,87.74,610.83,121.18,65.77,47.39,10.72,118.14,0.0,225.55,52.38,715.95,311.87,40.52,404.08,0.0,-13.08,66.85,545.5,0.67,4.42,5.81,6.73,0.56,3.49,17.22,21.2,2.41,3.45,8.02,45.51,8.06,45.31,0.72,0.92,0.86,0.01,,69180.0,91825.0,7547.0,391620.0,0.0,67651.0
(주)DB하이텍,000990,2015/12,337757.0,646886.0,244045.0,486541.0,222556.0,128092.0,-8855.0,-25389.0,666595.0,436916.0,229679.0,104711.0,124969.0,2857.0,86726.0,27216.0,-10909.0,126733.0,115224.0,152722.0,-12209.0,-71767.0,131429.0,108133.0,533140.0,984644.0,730586.0,254057.0,82878.0,82878.0,-0.02,-9.91,-12.26,36.42,20.64,17.42,34.46,52.21,25.83,65.7,25.8,74.2,254.62,87.35,138.4,104.2,44.31,110.29,89.06,207.92,53.05,287.57,96.06,23.96,191.51,519.19,9.52,53.39,206.91,2.5,13.74,19.1,15.06,0.68,3.56,16.56,22.04,2.28,3.08,8.73,41.79,7.67,47.58,0.96,1.19,1.11,0.01,,83460.0,98490.0,5219.0,399749.0,0.0,50040.0
(주)DB하이텍,000990,2016/12,368924.0,617864.0,274231.0,370640.0,222556.0,128092.0,-12093.0,65709.0,773140.0,483130.0,290010.0,117582.0,172428.0,7379.0,15918.0,31533.0,-2850.0,88344.0,87860.0,248312.0,-121032.0,-118530.0,144614.0,115580.0,547701.0,986789.0,644871.0,341917.0,79329.0,79329.0,0.22,2.73,-4.49,9.23,-8.52,15.98,37.51,59.71,29.65,62.61,34.65,65.35,180.71,86.71,134.53,106.69,42.15,144.42,80.62,249.46,57.89,188.6,80.2,33.11,108.4,391.41,9.6,42.8,123.51,4.41,31.09,47.48,25.94,0.78,2.59,17.48,20.88,2.19,2.83,9.68,37.72,7.64,47.75,1.22,1.43,1.26,0.02,,76345.0,105108.0,15254.0,282487.0,0.0,39114.0
(주)DB하이텍,000990,2017/12,353663.0,640288.0,145225.0,392928.0,222556.0,128092.0,-10784.0,178281.0,679738.0,426171.0,253567.0,110372.0,143195.0,23672.0,6577.0,18880.0,-5213.0,110175.0,113881.0,183124.0,-101904.0,-85791.0,118555.0,107495.0,555567.0,993951.0,538153.0,455798.0,70294.0,70294.0,0.73,1.44,3.63,-4.14,-1.74,-12.08,37.3,55.23,28.03,64.42,45.86,54.14,140.48,75.44,243.53,191.87,74.02,114.25,35.99,252.94,45.17,118.07,31.86,11.24,86.21,188.51,20.97,35.77,78.01,6.05,40.08,60.67,31.74,0.69,1.7,17.41,20.96,1.88,2.38,8.98,40.64,6.94,52.61,1.08,1.23,1.19,0.01,,75019.0,72398.0,11286.0,315596.0,0.0,23682.0
(주)DB하이텍,000990,2018/12,383379.0,683155.0,156796.0,351346.0,222556.0,128092.0,-18606.0,286927.0,669279.0,453943.0,215336.0,102343.0,112993.0,6237.0,14264.0,9733.0,9285.0,86829.0,97821.0,180344.0,-117302.0,-50895.0,163236.0,119106.0,597570.0,1066534.0,508142.0,558392.0,67381.0,67381.0,7.3,7.56,6.69,8.4,-42.83,-1.54,32.17,56.12,31.92,64.05,52.36,47.64,122.34,75.09,244.51,217.15,75.96,230.48,18.93,271.06,85.03,91.0,28.08,9.05,62.92,155.06,21.24,28.6,54.62,6.77,35.76,59.59,27.15,0.65,1.32,19.03,19.18,1.82,2.16,11.35,32.15,7.25,50.33,1.01,1.16,1.29,0.02,,42892.0,95139.0,15891.0,277380.0,0.0,16701.0
(주)DB하이텍,000990,2019/12,426263.0,662626.0,219716.0,224524.0,222556.0,128092.0,-21301.0,375644.0,807416.0,513293.0,294124.0,112832.0,181292.0,7931.0,11652.0,20259.0,39328.0,104637.0,100073.0,161078.0,-123955.0,-70941.0,198847.0,84777.0,616574.0,1088890.0,444239.0,644651.0,80265.0,80265.0,2.1,3.18,-3.0,11.19,20.86,20.64,36.43,64.33,34.39,60.85,59.2,40.8,102.79,76.24,194.01,170.41,38.58,196.81,25.1,332.91,59.12,68.91,34.08,25.48,34.83,108.7,18.97,23.21,39.2,13.44,38.43,67.56,21.14,0.75,1.34,24.06,15.17,1.99,2.26,17.05,21.41,8.04,45.4,1.2,1.33,1.36,0.02,,51838.0,92417.0,30550.0,179746.0,0.0,13490.0
(주)HJ중공업,097230,2011/12,2391530.0,4645150.0,2482598.0,2687234.0,241442.0,644385.0,165949.0,814074.0,2891499.0,2664558.0,226941.0,139646.0,107974.0,66649.0,0.0,0.0,15158.0,-96920.0,-89615.0,-401788.0,41457.0,94035.0,917168.0,854074.0,3144355.0,7036680.0,5169832.0,1866848.0,112451.0,112451.0,-6.49,-1.53,-2.58,-13.26,23.47,-8.72,7.85,51.48,28.86,66.01,26.53,73.47,248.82,102.0,96.33,81.81,34.4,78.7,0.0,132.35,59.46,276.93,132.98,32.69,143.94,0.0,-1.29,48.42,182.52,0.55,-0.99,-1.51,-1.77,0.4,1.51,10.41,35.07,1.12,1.29,8.86,41.19,10.97,33.26,0.61,0.91,0.52,0.03,,360584.0,864670.0,410598.0,677057.0,1616385.0,197618.0
